"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"23",2831.15562947714,1908.47671054295,5238.16158465895,2955.42630183593,2923.90679834559,2524.8933510004,3789.60232680285,4473.55211151168,2302.49601136453,2667.25490915927,2653.30958765819,1909.90654489716,5617.28400775353,2286.99356981782,1157.17357803584,3193.63186750343,2384.36631631687,1742.00152525078,2828.47592700646,2731.07595019787,7183.97764927444,-1,5643.47332071188,312.502657242109,1065.49531622738,776.376446686037,3250.5661206572,6728.2209858741,1066.90064991988,5652.68475631623,696.481912219678,1670.9162594213,315.378044893057,1465.97769422466,851.801738213334,1085.85747364392,3478.7112696443,7450.78845398035,2582.83412850621
"24",190.602929283803,125.569795622464,320.287404823201,177.587924374591,211.919457758649,170.347387718704,227.519859810089,270.130900356688,161.008519781057,171.031625499464,159.781657442155,126.919030758355,343.022852469402,147.693717418419,86.805535052222,199.365320905863,172.071288346679,104.137517366807,188.362904694367,166.199562577926,420.329102131726,-1,312.502657242109,27.959595959596,67.5639118681661,64.5249772009282,189.62074569008,393.467468763496,68.6780368327382,373.595416877284,54.4485340658782,103.647441310357,32.5105793734542,109.402915023115,67.5508562466324,87.9447958790392,204.148978686329,413.217870409525,159.393614605357
"25",566.710146024418,379.110723962757,1019.48156172595,571.879466989896,597.349838853423,505.444948251304,733.444708704301,867.148831008488,465.920216180956,526.304869749536,513.958336906851,380.440377667204,1092.91103882878,451.973560596973,238.662896454793,625.241640270195,486.478578547001,336.504265414838,564.315687758881,530.484389858478,1379.55622553678,-1,1065.49531622738,67.5639118681661,209.399869205508,164.188047706144,623.551296700657,1291.16586948717,210.630778410621,1124.94365968281,145.312738712073,326.117461647843,70.609980492451,302.267713467031,178.231807690847,228.528000685807,668.351320192318,1407.52019670394,503.9483387987
"26",458.986567284104,303.379033798497,783.139292902057,435.353095673512,504.469633799869,410.010776952852,557.922396525845,661.763085974209,385.446909969659,414.997838941802,391.614446213824,306.150511890598,838.921029518138,357.910937171289,205.559782592151,485.818741380072,409.86885899249,255.484726251667,454.344490990319,406.610193111783,1035.00602333187,-1,776.376446686037,64.5249772009282,164.188047706144,150.395628502627,467.113962116597,968.76789145184,166.506851161061,902.130641098119,128.147365146024,252.722575438859,73.5640079434094,259.354505752801,158.609499316553,205.861781795371,502.370570378548,1026.37026109035,389.128622788966
"27",1669.18478174184,1121.62448263237,3054.59580877398,1719.21631411614,1737.25539080872,1488.51360547383,2204.89709806586,2604.34179457843,1363.2021814258,1563.73426597231,1544.25044356569,1123.6399058142,3275.29825596549,1341.46927892107,690.014040814663,1866.58373622045,1415.93777708245,1012.59155633007,1665.4349603466,1591.13313120445,4166.69236488809,-1,3250.5661206572,189.62074569008,623.551296700657,467.113962116597,1884.42061427647,3900.81338730762,625.513750797766,3324.94124258424,417.103365829137,975.090496080596,193.798150118461,874.26526597433,510.605240304075,652.344964481438,2017.81055496564,4292.6736702583,1507.56984844604
"28",3456.95121416363,2322.82558717007,6323.7149885281,3559.14872324516,3599.43058902402,3082.89049820746,4564.44354706896,5391.49642300523,2823.78368044215,3237.90827956159,3196.86437406887,2327.11763294196,6780.56332102527,2777.84641451884,1429.9424548964,3864.59479365173,2933.63671348953,2096.2945230813,3449.03633672561,3294.10178110608,8625.11390114848,-1,6728.2209858741,393.467468763496,1291.16586948717,968.76789145184,3900.81338730762,8075.04890039308,1295.28914051176,6885.64724793468,864.620359939946,2018.99049943421,402.612328695419,1811.6087468601,1058.56950274561,1352.60142637991,4177.07533702305,8885.17520264323,3121.16448066702
"29",571.210048013684,381.801020060462,1024.37100080458,574.245157718441,603.453658047271,509.466908045349,736.498034376681,870.911055747716,470.18356709823,529.642094332619,516.145174684316,383.257758619221,1098.11231630827,454.919735771886,241.353462856541,628.655444966933,491.37938832646,337.828014514033,568.591204211896,532.908103250463,1384.07230670394,-1,1066.90064991988,68.6780368327382,210.630778410621,166.506851161061,625.513750797766,1295.28914051176,211.977024508353,1133.15879971245,147.134273356071,327.779416551898,72.0520065519421,305.660248995256,180.529101261366,231.620159923998,670.571502804944,1409.47300771994,506.507079819887
"30",3061.8388437809,2043.5216662596,5461.04482373978,3057.73526229401,3247.38766994257,2730.94549305236,3921.97495817921,4639.15850889589,2525.58756384309,2831.15568752222,2748.97611214218,2052.41469423997,5853.80540480163,2432.45136931687,1301.17165859822,3355.28568764318,2643.62118645281,1798.17766482714,3045.88148639143,2839.78506382208,7358.85420076838,-1,5652.68475631623,373.595416877284,1124.94365968281,902.130641098119,3324.94124258424,6885.64724793468,1133.15879971245,6067.35172903036,794.92575912143,1748.18788405502,394.68445025892,1647.73380968787,975.976301496419,1253.57842509554,3565.49641207455,7468.69519498108,2701.54484671469
"31",403.712864067519,267.369659825366,696.241084134009,387.569119956886,439.450179930839,360.401338584276,496.882058283347,588.946939921633,337.457528394805,367.019374109461,348.652755062851,269.476409562919,745.962551960154,316.163239625249,178.220161238955,430.909888982055,357.217659466765,227.536683613581,400.099198780638,361.52715815319,924.02650296132,-1,696.481912219678,54.4485340658782,145.312738712073,128.147365146024,417.103365829137,864.620359939946,147.134273356071,794.92575912143,110.478340372394,224.128687667397,60.4419408467094,225.207680167413,136.341020803479,176.408686957683,448.252583943022,920.685715135666,345.565571982434
"32",879.829785010067,589.350705135271,1590.18665897421,892.949249010196,924.371521788097,784.721990466231,1145.13733374853,1353.54580697299,722.074463174813,819.045900564313,802.343216536244,591.152585616424,1704.80976079948,703.208923950845,368.765822847224,974.293627051543,752.965047670421,525.598695866523,876.589590298364,827.768535589445,2156.85991902575,-1,1670.9162594213,103.647441310357,326.117461647843,252.722575438859,975.090496080596,2018.99049943421,327.779416551898,1748.18788405502,224.128687667397,508.505289505995,107.76078964365,467.039701933165,274.780717065421,352.003898398054,1044.88718118047,2207.02934262429,785.738245867218
